FALSE,item,region,area,location ,time (24hr)
1-5,,,,,
FALSE,windlight seeds,gridania,central shroud,bentbranch,
FALSE,latex,gridania,central shroud,jadeite thick,
FALSE,ice shard,gridania,central shroud,jadeite thick,
FALSE,wind shard,gridania,central shroud,jadeite thick,
FALSE,allagan snail,gridania,central shroud,jadeite thick ,
FALSE,maple log,gridania,central shroud,jadeite thick ,
FALSE,maple branch,gridania,central shroud,jadeite thick ,
FALSE,earth shard,gridania,north shroud,treespeak ,
FALSE,maple sap !,gridania,north shroud,treespeak ,
FALSE,cinnamon,gridania,north shroud,treespeak ,
FALSE,beehive chip,gridania,north shroud,treespeak ,
FALSE,water shard,limsa lominsa,eastern la noscea,bloodshore,
FALSE,earthlight seeds,limsa lominsa,lower la noscea,moraby bay,
FALSE,firelight seeds,limsa lominsa,middle la noscea,summerford,
FALSE,fire shard,limsa lominsa,middle la noscea,three malm bend,
FALSE,icelight seeds,limsa lominsa,western la noscea,quarterstone,
FALSE,lightning shard,mor dhona,mor dhona,the tangle,
FALSE,levinlight seeds,ul'dah,central thanalan,the clutch,
FALSE,waterlight seeds,ul'dah,western thanalan,horizon's edge,
6-10,,,,,
FALSE,tinolqa mistletoe,gridania,central shroud,greentear,
FALSE,ash log,gridania,central shroud,greentear,
FALSE,ash branch,gridania,central shroud,greentear,
FALSE,crow feather !,gridania,central shroud,greentear,
FALSE,la noscea orange,limsa lominsa,lower la noscea,cedarwood,
FALSE,la noscea orange seeds,limsa lominsa,lower la noscea,cedarwood,
FALSE,kukuru beans,limsa lominsa,lower la noscea,cedarwood,
FALSE,cock feather,ul'dah,central thanalan,spineless basin,
FALSE,cloves,ul'dah,central thanalan,spineless basin,
11-15,,,,,
FALSE,elm log,gridania,central shroud,bentbranch,
FALSE,gridanian chestnut,gridania,central shroud,bentbranch,
FALSE,chanterelle,gridania,central shroud,bentbranch,
FALSE,tree toad,gridania,central shroud,bentbranch,
FALSE,buffalo beans,gridania,central shroud,bentbranch,
FALSE,lavender,gridania,central shroud,bentbranch,
FALSE,lavender seeds,gridania,central shroud,bentbranch,
FALSE,humus,gridania,central shroud,bentbranch,
FALSE,carnation,gridania,central shroud,bentbranch,
FALSE,cotton boll,gridania,central shroud,bentbranch,
FALSE,marjoram !,gridania,central shroud,bentbranch,
FALSE,lowland grapes,limsa lominsa,lower la noscea,moraby bay,
FALSE,lowland grape seeds,limsa lominsa,lower la noscea,moraby bay,
FALSE,cinderfoot olive,limsa lominsa,lower la noscea,moraby bay,
FALSE,olive seeds,limsa lominsa,lower la noscea,moraby bay,
FALSE,cieldalaes spinach,limsa lominsa,lower la noscea,moraby bay,
FALSE,highland parsley,limsa lominsa,lower la noscea,moraby bay,
FALSE,ruby tomato,limsa lominsa,middle la noscea,summerford,
FALSE,sunset wheat,limsa lominsa,middle la noscea ,summerford,
FALSE,straw,limsa lominsa,middle la noscea ,summerford,
FALSE,la noscean lettuce,limsa lominsa,middle la noscea ,summerford,
FALSE,la noscean lettuce seeds,limsa lominsa,middle la noscea ,summerford,
FALSE,yellow ginseng,ul'dah,central thanalan,the clutch,
FALSE,black pepper,ul'dah,central thanalan,the clutch,
FALSE,black pepper seeds,ul'dah,central thanalan,the clutch,
FALSE,alpine parsnip,ul'dah,central thanalan,the clutch,
FALSE,rye,ul'dah,western thanalan,horizon's edge,
FALSE,moko grass,ul'dah,western thanalan,horizon's edge,
FALSE,grass viper,ul'dah,western thanalan,horizon's edge,
FALSE,coerthan carrot,ul'dah,western thanalan,horizon's edge,
FALSE,coerthan carrot seeds,ul'dah,western thanalan,horizon's edge,
FALSE,garlean garlic,ul'dah,western thanalan,nophica's wells,
FALSE,garlic cloves,ul'dah,western thanalan,nophica's wells,
FALSE,wild onion,ul'dah,western thanalan,nophica's wells,
FALSE,wild onion set,ul'dah,western thanalan,nophica's wells,
FALSE,ogre pumpkin,ul'dah,western thanalan,nophica's wells,
16-20,,,,,
FALSE,faerie apple,gridania,east shroud,nine ivies,
FALSE,faerie apple seeds,gridania,east shroud,nine ivies,
FALSE,yew log,gridania,east shroud,nine ivies,
FALSE,yew branch,gridania,east shroud,nine ivies,
FALSE,galago mint,gridania,east shroud,nine ivies,
FALSE,belladonna,gridania,east shroud,nine ivies,
FALSE,gil bun,gridania,east shroud,nine ivies,
FALSE,shroud seedling,gridania,east shroud,nine ivies,
FALSE,sun lemon,limsa lominsa,lower la noscea,cedarwood,
FALSE,sun lemon seeds,limsa lominsa,lower la noscea,cedarwood,
FALSE,paprika,limsa lominsa,western la noscea,quarterstone,
FALSE,paprika seeds,limsa lominsa,western la noscea,quarterstone,
FALSE,lalafellin lentil,limsa lominsa,western la noscea,quarterstone,
FALSE,island seedling,limsa lominsa,western la noscea,quarterstone,
FALSE,grade 1 carbonized matter !,limsa lominsa,western la noscea,skull valley,
FALSE,nopales,ul'dah,central thanalan,black brush,
FALSE,popoto,ul'dah,eastern thanalan,sandgate,
FALSE,popoto set,ul'dah,eastern thanalan,sandgate,
FALSE,desert seedling,ul'dah,eastern thanalan,sandgate,
FALSE,white scorpion,ul'dah,eastern thanalan,sandgate,
21-25,,,,,
FALSE,gridanian walnut,gridania,south shroud,upper paths,
FALSE,matron's mistletoe,gridania,south shroud,upper paths,
FALSE,walnut log,gridania,south shroud,upper paths,
FALSE,chamomile !,limsa lominsa,upper la noscea,oakwood,
FALSE,chamomile seeds,limsa lominsa,upper la noscea,oakwood,
FALSE,noble grapes,limsa lominsa,upper la noscea,oakwood,
FALSE,pixie plum seeds,limsa lominsa,upper la noscea,oakwood,
FALSE,pixie plums,limsa lominsa,upper la noscea,oakwood,
FALSE,sticky rice,limsa lominsa,upper la noscea,oakwood,
FALSE,ala mhigan mustard,ul'dah,eastern thanalan,drybone,
FALSE,ala mhigan mustard seeds,ul'dah,eastern thanalan,drybone,
FALSE,button mushroom,ul'dah,eastern thanalan,drybone,
FALSE,millioncorn,ul'dah,eastern thanalan,drybone,
FALSE,millioncorn seeds,ul'dah,eastern thanalan,drybone,
FALSE,pearl ginger,ul'dah,eastern thanalan,drybone,
FALSE,pearl ginger root,ul'dah,eastern thanalan,drybone,
26-30,,,,,
FALSE,wind crystal,gridania,central shroud,bentbranch,
FALSE,green pigment,gridania,central shroud,bentbranch,
FALSE,jade peas,gridania,north shroud,alder springs,
FALSE,wizard eggplant,gridania,north shroud,alder springs,
FALSE,wizard eggplant,gridania,north shroud,alder springs,
FALSE,midland cabbage,gridania,north shroud,alder springs,
FALSE,midland cabbage,gridania,north shroud,alder springs,
FALSE,moor leech,gridania,north shroud,alder springs,
FALSE,earth crystal,gridania,north shroud,peacegarden,
FALSE,yellow pigment,gridania,north shroud,peacegarden,
FALSE,brown pigment,gridania,north shroud,peacegarden,
FALSE,chocobo feather,gridania,south shroud,silent arbor,
FALSE,alligator pear !,gridania,south shroud,silent arbor,
FALSE,ice crystal,gridania,south shroud,upper paths,
FALSE,grey pigment,gridania,south shroud,upper paths,
FALSE,water crystal,limsa lominsa,eastern la noscea,bloodshore,
FALSE,blue pigment,limsa lominsa,eastern la noscea,bloodshore,
FALSE,fire crystal,limsa lominsa,middle la noscea,three malm bend,
FALSE,red pigment,limsa lominsa,middle la noscea,three malm bend,
FALSE,lightning crystal,ul'dah,central thanalan,spineless basin,
FALSE,purple pigment,ul'dah,central thanalan,spineless basin,
31-35,,,,,
FALSE,oak branch,gridania,south shroud,lower paths,
FALSE,oak log,gridania,south shroud,lower paths,
FALSE,tarantula,gridania,south shroud,lower paths,
FALSE,flax,gridania,south shroud,lower paths,
FALSE,linseed,gridania,south shroud,lower paths,
FALSE,white truffle,gridania,south shroud,lower paths,
FALSE,wildfowl feather,gridania,south shroud,lower paths,
FALSE,midland basil,limsa lominsa,eastern la noscea,bloodshore,
FALSE,midland basil seeds,limsa lominsa,eastern la noscea,bloodshore,
FALSE,mandrake,limsa lominsa,eastern la noscea,bloodshore,
FALSE,mandrake seeds,limsa lominsa,eastern la noscea,bloodshore,
FALSE,salt leek,limsa lominsa,eastern la noscea,bloodshore,
FALSE,dragon pepper,limsa lominsa,eastern la noscea,bloodshore,
FALSE,yafaemi wildgrass,ul'dah,southern thanalan,broken water,
FALSE,aloe,ul'dah,southern thanalan,broken water,
FALSE,bloodgrass,ul'dah,southern thanalan,broken water,
FALSE,laurel !,ul'dah,southern thanalan,broken water,
FALSE,desert saffron,ul'dah,southern thanalan,broken water,
36-40,,,,,
FALSE,blood currants,gridania,south shroud,lower paths,
FALSE,blood currants seeds,gridania,south shroud,lower paths,
FALSE,thyme,gridania,south shroud,lower paths,
FALSE,iron acorn,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,mahogany log,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,nutmeg,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,almonds,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,almond seeds,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,mugwort,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,maiden artichoke,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,ramhorn zucchini !,limsa lominsa,eastern la noscea,raincatcher gully,
41-45,,,,,
FALSE,mirror apple,coerthas,coerthas central highlands,whitebrim,
FALSE,mirror apple seeds,coerthas,coerthas central highlands,whitebrim,
FALSE,mistletoe !,coerthas,coerthas central highlands,whitebrim,
FALSE,sagolii sage,limsa lominsa,upper la noscea,bronze lake,
FALSE,black scorpion,limsa lominsa,upper la noscea,bronze lake,
FALSE,rolanberry,limsa lominsa,upper la noscea,bronze lake,
FALSE,rolanberry,limsa lominsa,upper la noscea,bronze lake,
FALSE,dart frog,limsa lominsa,upper la noscea,bronze lake,
46-50,,,,,
